question,offer,experience,interview,difficulty,source
" If you have 1000 packages, how many riders do you need to deliver all the packages?   ",Accepted Offer,Positive Experience,"I was interviewed by region head at shopee express hub at Kepong. The session is just relaxed and a discussion 1 to 1, while also test your knowledge and understanding (for fresh grads). He also explains the actual situation of the workflows, culture roughly.",Easy Interview,Shopee
" There is no difficult questions, all standard questions, and more chit chat to know you better.   ",No Offer,Negative Experience,"Had phone interview with the HR, and arranged a F2F interview the Chief of the Staff, the interview was conducted fully in Chinese, with a very standard interview routine, not as professional as I expect. I asked a few questions in the end, and I feel it is not the company I would like to work for.",Easy Interview,Shopee
 Why Shopee?   ,Declined Offer,Positive Experience,,Average Interview,Shopee
,Declined Offer,Positive Experience,,Average Interview,Shopee
 Why do you want to work here?   ,Accepted Offer,Positive Experience,The interview session had 3 session. 1st was grouping interview with other candidate. 2nd was test session regarding the job scope. 3rd was with personal interaction with the hiring manager.,Average Interview,Shopee
 How many days can you work in a week?   ,No Offer,Neutral Experience,,Average Interview,Shopee
"I applied online. The phone interview is ok, general questions like tell me about yourself, why shopee, why this position. Writing test is a bit long and challenging. In person interview is around 20 mins with the team leader, and she asked more detailed questions related to the industry and position. Need to prepare well. I thought my performance was ok and the team leader seems friendly, but did not",No Offer,Neutral Experience,"It has three rounds. Phone interview, around 10 mins; writing test with 4 questions, need to do research and take some time ; in person interview, around 20 mins",Average Interview,Shopee
 How other people might describe you?   ,No Offer,Neutral Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 Tell me about yourself. Past job experience.   ,Accepted Offer,Positive Experience,"First round was phone interview with HR person who will mainly ask you about your past job experiences, tell you more about the role you are applying for to see if you are a good fit. Second round was with your hiring manager / direct supervisor.",Average Interview,Shopee
,No Offer,Positive Experience,,Easy Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 Tell me about yourself   ,No Offer,Neutral Experience,"The first interview was a personal fit to understand the interviewee educational background and working experience. The also asked about the experience timeline, if there was a gap in between, they will ask what were you doing during that period of time. If there's a change in job, they will ask why. They also asked why you decide to join the company and what you can contribute in. At the end of the interview, they asked if I want to do job related to analytics and if so, they will arrange a python and sql interview for you, which is very difficult. better prepare well before deciding.",Average Interview,Shopee
