question,offer,interview,experience,difficulty,source
 Turn binary tree into list then turn the list back into a binary tree.   ,No Offer,"I was referred by an intern in the summer. Got an on campus interview in September 2019 for an hour with 2 questions, then a phone screen a few weeks later in October for 45 min with 1 question. The first two questions were pretty easy, and the last one was a little more difficult.",Positive Experience,Average Interview,Facebook
,Accepted Offer,,Positive Experience,Easy Interview,Facebook
 LeeteCode Hard and Design problem hard   ,No Offer,"Recruiter Screening, Phone screen, followed by an onsite interview. Interviewed for Sr Manager role but interviewers were focussed on LeeteCode Hard, design problems were hard too. Do you want expect 7-8 yrs into management to code Hard problems? 6 rounds 3 technical rounds and 3 about Project, People and Org",Negative Experience,Difficult Interview,Facebook
 How would you program an elevator?   ,Declined Offer,Standard process really. Just do you homework here and you know exactly what to expect! I had a phone interview followed by an onsite interview. The campus was great and it seems pretty much like you'd expect from a major silicon valley company. I'd definitely recommending prepping for this by looking at glassdoor.,Positive Experience,Average Interview,Facebook
 Why are you interested in Facebook?   ,No Offer,"After applying 3 months earlier, I just had one call with a recruiter who wasn't too interested in the conversation. She asked pretty standard questions about past experience, career interest, etc.",Negative Experience,Easy Interview,Facebook
 If you were to go back and deliver that program again what would you change in order to add more value?   ,Declined Offer,,Negative Experience,Average Interview,Facebook
 Binary Tree and Bit Manipulation   ,No Offer,"The interviewer seemed extremely disinterested and really put me off. It did not seem like they even wanted to interview me. At times, they were even rude. I hope that this doesn't happen to you.",Negative Experience,Average Interview,Facebook
 STAR Questions   ,Accepted Offer,,Positive Experience,Difficult Interview,Facebook
 alien dictionary   ,No Offer,"Phone interview for intern, I was first asked to introduce myself, and talked about a project in my resume, This part lasted for 5 - 8 mins, then I was asked do a programming problem within 30 - 35mins, the 5 mins for asking interviewer questions. The interviewer is very nice.",Neutral Experience,Average Interview,Facebook
 What is your experience as a recruiting coordinator?   ,Declined Offer,,Positive Experience,Difficult Interview,Facebook
 Why data scientist? Why Facebook? What is your favorite product and how to improve it using what data? High-level SQL questions.   ,No Offer,"Referred by a friend for the Data scientist's new grad position in August, hr phone interview after 4 weeks, got rejected after 3 days of interview.The interview took about 15 mins.",Neutral Experience,Easy Interview,Facebook
